X,Y,City,State
-110.2142,51.1578,Acadia Valley,Alberta
-113.7626,53.5487,Acheson,Alberta
-113.5083097,51.4988167,Acme,Alberta
-114.0106199,51.28597,Airdrie,Alberta
-114.353532,53.675439,Alberta Beach,Alberta
-114.941364,52.931262,Alder Flats,Alberta
-113.1875941,52.3973309,Alix,Alberta
-111.7833329,52.433333,Alliance,Alberta
-110.146722,51.918259,Altario,Alberta
-111.0636455,52.5670966,Amisk,Alberta
-112.3305962,53.8796821,Andrew,Alberta
-111.036765,56.448899,Anzac,Alberta
-110.480273,54.331462,Ardmore,Alberta
-113.142839,53.551606,Ardrossan,Alberta
-113.8008089,52.392425,Arrowwood,Alberta
-113.285794,54.7214539,Athabasca,Alberta
-114.007862,51.212985,Balzac,Alberta
-115.5682503,51.1777781,Banff,Alberta
-112.2622937,49.7595798,Barnwell,Alberta
-113.0815279,49.997493,Barons,Alberta
-114.4,54.116667,Barrhead,Alberta
-112.9666669,52.583333,Bashaw,Alberta
-112.465883,50.7878642,Bassano,Alberta
-112.4612153,52.9188843,Bawlf,Alberta
-113.4151433,53.3525496,Beaumont,Alberta
-119.430745,55.2056198,Beaverlodge,Alberta
-113.5400151,51.3849968,Beiseker,Alberta
-114.366039,49.58197,Bellevue,Alberta
-114.275356,52.305805,Benalto,Alberta
-114.0512065,52.4665752,Bentley,Alberta
-117.7329773,56.149407,Berwyn,Alberta
-118.357911,55.229136,Bezanson,Alberta
-112.7499999,52.033333,Big Valley,Alberta
-113.7443879,53.4431212,Birch Cove,Alberta
-114.1003994,52.3508158,Birchcliff,Alberta
-113.0578529,53.007472,Bittern Lake,Alberta
-114.2335482,50.687795,Black Diamond,Alberta
-113.8,52.383333,Blackfalds,Alberta
-113.628796,50.608538,Blackie,Alberta
-114.518305,49.633999,Blairmore,Alberta
-115.379791,54.121206,Blue Ridge,Alberta
-114.290479,52.749005,Bluffton,Alberta
-113.4123723,53.8365209,Bon Accord,Alberta
-112.7019439,54.595278,Bondiss,Alberta
-110.7351603,54.267778,Bonnyville,Alberta
-112.524812,52.3062118,Botha,Alberta
-111.3762535,49.868046,Bow Island,Alberta
-114.0330475,51.9316614,Bowden,Alberta
-112.8091669,54.590833,Boyle,Alberta
-114.569234,50.95174,Bragg Creek,Alberta
-114.4714875,53.1107791,Breton,Alberta
-111.8930049,50.571027,Brooks,Alberta
-112.0335,53.1733,Bruce,Alberta
-112.9281939,53.8017247,Bruderheim,Alberta
-114.7954,52.9526,Buck Lake,Alberta
-114.8887365,51.9847118,Burnstick Lake,Alberta
-113.892749,53.949036,Busby,Alberta
-110.446088,52.317518,Cadogan,Alberta
-117.326529,53.032472,Cadomin,Alberta
-114.0498684,51.02532675,Calgary,Alberta
-113.193325,55.210335,Calling Lake,Alberta
-113.8055414,53.2650362,Calmar,Alberta
-112.8387295,53.0120768,Camrose,Alberta
-115.3481134,51.0866897,Canmore,Alberta
-115.08826,55.371739,Canyon Creek,Alberta
-113.1516358,51.4859432,Carbon,Alberta
-113.3166669,49.2,Cardston,Alberta
-113.1067409,50.129796,Carmangay,Alberta
-114.7417789,52.0918456,Caroline,Alberta
-115.85617,53.610064,Carrot Creek,Alberta
-113.469691,50.852276,Carseland,Alberta
-114.1000015,51.563216,Carstairs,Alberta
-114.220678,53.531212,Carvel,Alberta
-112.51363,54.634545,Caslan,Alberta
-114.34199,53.7089521,Castle Island,Alberta
-111.9,52.216667,Castor,Alberta
-110.8,51.416667,Cereal,Alberta
-113.1519699,50.242871,Champion,Alberta
-110.1438375,52.6939247,Chauvin,Alberta
-114.668945,53.82087,Cherhill,Alberta
-113.8211059,51.044848,Chestermere,Alberta
-112.6333329,53.7,Chipman,Alberta
-118.794524,55.243191,Clairmont,Alberta
-110.714208,53.572026,Clandonald,Alberta
-113.5800284,50.0239458,Claresholm,Alberta
-113.4412967,52.4771595,Clive,Alberta
-112.866848,50.836047,Cluny,Alberta
-113.634904,54.1463324,Clyde,Alberta
-112.6168424,49.7255,Coaldale,Alberta
-112.927582,49.7468014,Coalhurst,Alberta
-114.4710707,51.1874627,Cochrane,Alberta
-110.1928709,54.46046,Cold Lake,Alberta
-114.5026,49.6351,Coleman,Alberta
-113.252523,54.621634,Colinton,Alberta
-111.083884,55.631388,Conklin,Alberta
-110.7752785,52.0094273,Consort,Alberta
-111.449,52.0929552,Coronation,Alberta
-111.9638891,49.0017307,Coutts,Alberta
-114.0733249,49.56901,Cowley,Alberta
-114.4908727,51.5466917,Cremona,Alberta
-117.866667,55.166667,Crooked Creek,Alberta
